Feature	GM23913_day0-1	GM23913_day0-2	GM23913_day0-3	GM23913_day14-1	GM23913_day14-2	GM23913_day14-3	GM23913_day21-1	GM23913_day21-2	GM23913_day21-3	GM23913_day35-1	GM23913_day35-2	GM23913_day35-3	GM23913_day60-1	GM23913_day60-2	GM23913_day60-3	GM25256_day0-1	GM25256_day0-2	GM25256_day0-3	GM25256_day14-1	GM25256_day14-2	GM25256_day14-3	GM25256_day21-1	GM25256_day21-2	GM25256_day21-3	GM25256_day35-1	GM25256_day35-2	GM25256_day35-3	GM25256_day60-1	GM25256_day60-2	GM25256_day60-3	NCRM_day0-1	NCRM_day0-2	NCRM_day0-3	NCRM_day14-1	NCRM_day14-2	NCRM_day14-3	NCRM_day21-1	NCRM_day21-2	NCRM_day21-3	NCRM_day35-1	NCRM_day35-2	NCRM_day35-3	NCRM_day60-1	NCRM_day60-2	NCRM_day60-3
POU5F1B	130.052	105.895	125.258	3.55891	4.08544	6.89515	6.80253	4.3295	3.49625	7.66667	3.40852	3.89905	8.6939	6.67029	1.67549	116.126	98.1112	86.5033	4.29063	1.39751	3.33086	2.00351	3.51739	5.02262	4.27846	6.35675	1.2626	9.01154	4.46431	6.39584	117.009	127.408	112.281	7.35978	4.29126	7.95878	4.26793	10.9314	0	7.46425	8.48924	7.37114	9.38285	4.85753	2.08526
PSEN1	2492.89	2464.71	2393.33	3332.92	3597.23	3371.73	3101.95	3495.35	3146.62	4041.61	4277.69	4391.63	2526.45	2437.99	2342.34	2322.52	2309.65	2286.74	2819.37	2948.74	2889.71	3151.52	3286.42	3124.49	3791.43	4269.62	4236.67	2499.2	2368	1980.83	2124.59	2193.79	2418.25	3513.07	3407.26	3662.37	3913.69	4089.9	3214.16	3786.86	3767.81	3864.58	2763.25	2868.37	2938.13
PSEN2	28.9295	15.8843	22.3676	35.5891	20.4272	17.2379	25.5095	18.7612	20.9775	19.1667	5.11278	10.3975	13.9102	18.3433	38.5363	26.2477	23.085	31.3743	17.5916	13.6257	15.544	12.0211	6.44855	15.905	4.99154	10.5946	6.94432	14.4185	17.8572	15.8015	44.4202	39.738	44.2107	12.2663	26.8204	15.9176	14.2264	4.68488	17.4327	12.4404	1.41487	12.6362	18.7657	12.1438	8.34105
PTF1A	0.781878	0	2.23676	8.89727	6.12816	5.17136	0	0	0	232.556	223.258	124.77	29.5592	30.0163	15.0794	0	0	0.896407	3.00344	4.5419	2.22058	2.00351	2.93116	2.92986	249.577	137.023	181.815	66.0847	86.7352	79.3836	1.08342	1.63868	2.80703	7.35978	5.36407	9.28525	5.69057	14.0547	8.71635	84.5948	131.583	134.787	16.42	21.8589	9.38368
S100B	21.632	10.5895	42.4984	5.33836	2.04272	5.17136	8.50316	21.6475	15.1504	129.056	73.2832	42.8895	1192.8	1617.55	1491.19	21.4754	26.5477	24.6512	1037.9	888.815	875.277	1229.49	752.135	728.28	480.614	223.899	310.6	1894.23	2868	3594.08	8.66736	8.19341	16.8422	111.623	104.063	196.317	106.698	171.779	344.296	89.571	130.168	48.4389	1175.2	842.781	862.256
SKOR2	32.3176	34.4159	40.2617	0	0	0	0	2.88634	0	204.444	265.865	222.246	187.788	223.455	157.496	41.36	23.6621	21.5138	1.71625	1.04813	1.48038	3.33918	8.20724	5.85973	124.788	60.036	134.467	329.823	341.839	136.946	43.3368	54.4862	30.1756	0	0	0	12.8038	4.68488	5.44772	354.552	597.077	547.57	72.7171	267.164	121.988
SMAP2	258.28	309.743	208.019	813.211	743.551	813.628	889.431	922.185	881.055	1640.67	1525.31	1664.89	2291.71	2473.01	2623.82	272.817	260.283	250.098	891.164	952.052	928.2	1073.88	1413.99	1076.1	1774.14	1455.7	1523.96	1965.72	2503.2	1628.68	276.272	270.383	253.334	868.454	943.004	980.257	1341.55	1371.11	1120.05	3686.09	3208.93	3522.35	4142.53	4043.89	4868.05
SOX9	263.493	225.027	192.361	1615.75	1630.09	1541.07	1765.26	1750.56	1342.56	8267.22	7970.82	7717.52	2709.02	2237.88	2114.47	673.691	672.35	648.551	1195.8	1242.38	1380.09	542.951	1358.89	631.595	7936.55	5877.87	5759.37	3464.64	3235.99	1744.56	465.871	541.585	711.582	2416.46	2572.61	2560.08	3930.76	3863.47	2900.37	6011.21	6256.57	6098.04	2918.07	3086.96	2564.87
SOX9-AS1	7.0369	7.94214	8.94704	58.722	57.1962	37.9233	78.2291	44.7382	79.2483	207	148.271	115.672	318.197	278.485	227.867	23.0662	24.2392	22.4102	27.46	33.5402	30.718	18.6994	42.7949	20.9276	114.805	114.421	99.1144	225.289	205.358	264.863	10.8342	18.0255	26.6668	44.1587	43.9854	31.8351	82.5133	76.5198	91.5217	167.946	179.689	179.013	114.94	126.296	111.562
TEN1	0.521252	2.64738	2.23676	0	2.04272	0	0	0	0	0	0	0	0	0	0	2.38615	0.577125	1.34461	1.28719	0	0	0.667837	0	2.51131	0	2.11892	0	0.60077	0	1.5049	0	1.63868	0	0	2.14563	1.32646	0	0	1.08954	0	0	0	0	0	0
TEN1-CDK3	9.38254	10.5895	6.71028	5.33836	2.04272	1.72379	13.6051	0	11.6542	5.11111	0	5.19873	6.95512	1.66757	1.67549	14.3169	10.9654	12.5497	6.00688	6.98754	3.70096	6.67837	5.27609	11.3009	3.56538	3.53153	1.2626	6.0077	3.82655	3.38603	5.4171	9.83209	5.61406	6.13315	7.5097	0	4.26793	3.12326	0	0	2.82975	2.10604	2.34571	2.42876	6.25579
TSEN2	496.232	542.713	507.744	695.767	706.782	660.211	714.265	692.721	802.972	546.889	526.616	475.684	347.756	360.196	413.847	385.762	394.753	428.483	621.713	547.474	605.477	762.67	574.507	693.541	599.698	491.589	577.641	487.224	356.507	437.927	489.706	456.373	512.984	629.261	516.024	580.991	581.861	588.734	593.802	314.742	373.527	350.656	267.411	303.595	268.999
TSEN15	1753.49	1638.73	2185.31	2185.17	2255.16	2113.36	3880.84	4395.89	5359.75	3967.5	3326.72	3132.24	2766.4	2666.45	2528.32	1932.78	3251.52	2418.06	2263.74	2069.71	2241.3	5250.53	2798.08	3929.37	3158.93	2572.36	2699.45	2625.36	2091.85	3833.74	1371.61	1344.54	2435.8	2188.31	2075.9	1988.37	2532.3	2448.63	2929.78	1333.61	1741.71	1497.39	1327.67	1442.69	1260.54
WNT1	0.781878	0	0	0	0	0	13.6051	5.77267	5.82708	1.27778	17.0426	10.3975	5.21634	10.0054	16.7549	2.38615	0	2.24102	42.0482	42.624	54.7742	173.638	104.935	187.93	29.9492	37.4342	28.4086	4.80616	8.29087	3.38603	1.08342	0.409671	1.40351	88.3173	48.2766	79.5878	19.917	4.68488	41.4027	0	8.48924	2.10604	2.34571	7.28629	7.29842
WNT10A	0	0	0	5.33836	2.04272	0	1.70063	2.88634	0	1.27778	1.70426	2.59937	5.21634	11.673	5.02648	0.795385	0.577125	0	0.858126	1.04813	3.33086	7.34621	2.93116	8.37104	5.70461	7.76936	3.78781	0	1.27552	3.38603	0	0	1.40351	39.2522	35.4029	22.5499	27.0302	26.5477	9.8059	3.73212	1.41487	0	14.0743	9.71505	10.4263
WNT10B	3.64876	0	2.23676	7.11782	4.08544	8.61894	8.50316	21.6475	17.4812	33.2222	27.2682	32.4921	172.139	206.779	221.165	20.68	23.6621	29.5814	13.73	15.3726	18.5048	162.952	100.832	178.722	76.2992	128.548	106.69	111.142	176.659	135.441	4.33368	6.14506	13.3334	55.1983	30.0388	26.5293	39.834	15.6163	28.3282	105.743	132.998	117.938	316.671	420.176	384.731
WNT11	13.2919	5.29476	11.1838	3.55891	2.04272	3.44758	1.70063	1.44317	2.33083	5.11111	3.40852	3.89905	36.5144	30.0163	23.4569	7.95385	4.617	5.37844	3.43251	2.79502	4.07105	8.68188	7.03478	12.5566	3.56538	0.706305	1.2626	15.0192	37.6278	45.8995	4.33368	6.14506	1.40351	20.8527	23.6019	11.9382	1.42264	0	8.71635	38.5653	19.8082	17.9013	49.26	80.1492	68.8137
WNT16	27.6264	50.3002	26.8411	0	0	1.72379	5.1019	1.44317	3.49625	6.38889	3.40852	1.29968	10.4327	8.33786	6.70197	3.97692	1.73137	2.24102	0.858126	1.04813	0.370096	0.667837	1.17246	3.76697	7.84385	4.23783	2.52521	18.0231	10.2041	16.9302	8.66736	6.9644	7.01757	0	1.07281	2.65293	0	0	2.17909	2.48808	2.82975	3.15906	4.69143	9.71505	8.34105
ZIC1	16.4194	15.8843	17.8941	311.405	261.468	243.054	210.878	168.851	152.669	1250.94	3270.47	1471.24	3656.65	1617.55	1844.72	707.097	652.151	723.849	566.363	416.108	736.861	7020.3	6256.85	7670.8	10112.9	11221.8	11704.3	7973.41	8927.35	6858.22	1895.98	1888.17	1611.94	1220.5	938.712	1403.4	556.253	744.896	1607.08	711.592	1536.55	1851.21	1423.85	2008.59	715.245
