Gene	GM23913_day0_htseq_counts	GM23913_day14_htseq_counts	GM23913_day21_htseq_counts	GM23913_day35_htseq_counts	GM23913_day60_htseq_counts	GM25256_day0_htseq_counts	GM25256_day14_htseq_counts	GM25256_day21_htseq_counts	GM25256_day35_htseq_counts	GM25256_day60_htseq_counts	NCRM_day0_htseq_counts	NCRM_day14_htseq_counts	NCRM_day21_htseq_counts	NCRM_day35_htseq_counts	NCRM_day60_htseq_counts
ACAP2-IT1	50	17	39	71	87	73	213	101	114	352	61	26	37	173	112
ACAP3	1573	1457	3282	3069	3002	1613	5648	10228	5714	8106	1714	1845	4169	4256	2925
ACAT1	4733	977	1768	1602	2318	5900	5415	5963	3325	7460	4429	1504	1371	1585	1789
ACAT2	11872	10255	9859	6136	4275	5712	11193	14462	5649	8786	15261	8110	9043	6336	5857
ACBD3	8278	1816	2542	4253	3287	8081	10066	7821	8980	11555	7835	3605	2946	5753	5174
ACBD3-AS1	9	2	1	1	4	16	16	5	4	10	4	1	0	2	2
ACBD4	781	152	290	144	788	1860	877	684	374	3077	928	173	189	539	617
ACBD5	4240	1831	2811	4153	4882	6506	7600	6751	8749	15756	5155	2629	2746	5867	5453
ACBD6	8231	1997	2552	2125	2185	9726	9893	7526	4889	7262	8184	3124	2057	2726	2159
ACBD7	5656	3935	5216	2401	1559	6220	7697	7321	4726	5203	5531	2456	2504	1293	426
ACCS	339	44	55	15	8	851	460	119	15	40	476	75	34	7	10
ACCSL	0	0	0	0	2	0	0	2	0	3	2	0	0	2	1
ACD	2764	599	827	1096	844	2518	2831	2416	2243	2910	2555	978	912	1075	795
ACE	342	3	3	5	32	440	9	21	18	84	398	10	5	18	83
ACE2	12	6	5	5	4	26	30	15	21	12	16	12	9	9	5
ACER1	0	0	0	1	0	0	1	3	0	4	0	2	0	3	0
ACER2	1404	675	607	267	139	1451	2097	1320	577	650	1347	590	443	339	188
ACER2P1	0	0	0	0	0	1	0	1	2	1	0	0	0	0	0
ACER3	5008	1302	2041	5060	2943	5068	8229	5518	14074	17799	4150	2191	2402	4936	3734
ACHE	950	123	314	443	5735	650	590	2301	630	5656	604	223	752	2598	14980
ACIN1	39577	12990	14269	13672	5657	42963	68049	32836	26926	20005	40559	22621	17976	13290	5239
ACKR1	32	10	31	163	216	32	14	208	192	346	32	11	100	520	313
ACKR2	11	7	3	4	11	20	55	45	19	37	17	14	6	12	7
ACKR3	180	1601	3664	4842	1263	445	1939	3724	7440	5476	211	928	3025	1381	591
ACKR4	84	8	9	4	1	84	40	13	12	16	83	9	6	10	9
ACKR4P1	3	1	0	0	1	0	0	1	0	1	1	1	1	0	0
ACLY	65617	18644	18362	20378	12202	46595	60970	41792	40780	33506	75582	28918	27932	31218	22919
ACMSD	31	10	9	11	14	33	36	17	20	38	43	9	7	11	3
ACNATP	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
ACO1	13092	2816	3426	2557	1998	14894	12345	7430	6362	6550	20182	4691	4017	4064	2983
ACO2	9122	2879	3360	4909	6397	9459	12220	11115	11640	17989	10079	4720	4112	6671	6407
ACOD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACOT1	271	38	47	23	90	509	239	187	51	220	226	65	24	37	39
ACOT11	520	29	40	5	17	475	146	54	12	24	487	32	16	3	5
ACOT12	51	22	3	2	9	42	83	2	16	56	20	4	0	5	9
ACOT13	4461	1000	1958	1736	1907	5686	5196	4873	3157	7123	4232	1582	1908	2153	1588
ACOT2	839	130	167	140	278	1225	591	556	136	318	832	193	112	101	133
ACOT4	30	0	1	0	3	35	3	6	2	5	16	1	1	1	2
ACOT6	10	2	0	0	0	24	4	4	1	8	21	2	0	0	1
ACOT7	15321	3716	3686	4921	6485	12006	12070	9583	8925	11971	16028	4971	4588	7502	7757
ACOT8	2545	357	713	669	932	2318	1864	2350	1420	3383	2105	563	582	766	790
ACOT9	7539	2264	2034	1104	1754	6192	7190	5443	2739	5692	6060	2655	1803	950	1083
ACOX1	6586	970	1455	3528	3707	6969	3294	3976	7845	11920	5974	1462	2096	5188	3990
ACOX2	244	32	25	9	44	167	431	143	14	113	239	78	23	6	38
ACOX3	773	408	591	770	635	936	1895	1572	1528	2168	1138	823	890	1188	839
ACOXL	2059	17	38	60	84	4490	161	105	96	167	1774	61	99	93	86
ACOXL-AS1	177	9	36	20	33	752	55	54	38	64	215	19	44	45	26
ACP1	18810	8790	12802	9364	6477	22093	38934	35389	17782	23066	22001	11953	9111	7203	5013
ACP2	1856	691	1091	2066	1404	3161	4781	4104	4301	3138	2339	1663	1788	1467	1804
ACP3	213	0	0	0	9	202	6	1	4	3	349	88	13	15	4
ACP4	16	23	26	14	5	20	121	63	56	21	7	19	11	6	6
ACP5	1385	9	9	6	12	1370	468	48	12	20	911	81	8	5	44
ACP6	2242	608	636	335	317	4296	4254	1988	1072	2199	2620	746	497	215	239
ACP7	111	0	0	0	2	67	0	0	0	4	103	0	1	0	38
ACR	10	2	1	9	18	6	24	9	11	58	5	11	10	54	32
ACRBP	215	53	101	93	74	585	227	241	182	437	302	69	109	56	34
ACRP1	0	3	0	1	0	2	2	1	0	6	0	2	0	2	0
ACRV1	121	56	56	55	29	124	230	116	111	80	64	70	40	37	18
ACSBG1	702	45	66	266	968	408	154	126	287	2267	480	45	69	193	962
ACSBG2	27	29	31	15	15	39	148	68	26	73	35	25	24	14	2
ACSF2	1063	479	1862	273	247	1885	4122	12500	1148	1374	1446	2242	2743	242	151
ACSF3	1844	680	892	934	533	2395	3216	1963	1623	1880	1976	1105	908	809	418
ACSL1	3898	248	517	1500	1964	1056	664	5418	5211	4810	1627	465	780	3165	3989
