"",baseMean,log2FoldChange,lfcSE,pvalue,padj,GM25256_day0-1,GM25256_day0-2,GM25256_day0-3,NCRM_day0-1,NCRM_day0-2,NCRM_day0-3,GM25256_day60-1,GM25256_day60-2,GM25256_day60-3,NCRM_day60-1,NCRM_day60-2,NCRM_day60-3
SLC39A4,15.295520372137,-3.78667185067654,0.390004047830911,7.12361340438865e-23,7.21364674273019e-22,59.0036903765367,60.0502673663148,61.3117375655417,36.8091117244822,50.7662732246009,48.5087384279537,5.76010608056499,6.01615072934121,2.5829292251652,2.84030810446082,2.93007473243303,0
H2BC17,17.61519093491,-3.78858732040162,0.69280728999113,4.84364521177739e-09,1.92259237804359e-08,11.8007380753073,68.6288769900741,28.170257800384,17.7229056451211,18.460462990764,55.5645549265651,1.44002652014125,3.0080753646706,2.5829292251652,0,5.86014946486605,0
PRSS1,1.08562057374122,-3.79246307099793,3.53051477299407,0.0176950834201782,0.0312048255504001,5.90036903765366,10.0083778943858,2.20943198434384,0,0.512790638632332,0.88197706232643,0,0,0,0,0,0
TOR4A,79.1714257712479,-3.79606356938069,0.300848783716643,4.96948499702489e-39,1.10376999426821e-37,316.65313835408,263.792245930597,260.712974152574,280.839889453457,309.725545733929,364.256526740816,16.5603049816243,18.0484521880236,7.31829947130141,34.0836972535299,32.2308220567633,31.7269930965788
IL2RG,2.84975845796925,-3.79935702788295,0.938193320184992,2.81980574921167e-06,8.57929229059956e-06,6.88376387726261,7.86372548844599,5.52357996085961,10.9064034739207,8.71744085674965,10.5837247479172,1.44002652014125,0,0.430488204194201,0,0,0
IMPA2,835.797183692515,-3.80295787499096,0.410882570897868,2.50910414125457e-21,2.31919164435039e-20,1377.73617029213,1495.53761107536,1443.8638017687,2385.77575992014,2357.81135643146,2407.79738015116,200.883699559704,223.349595826792,186.831880620283,59.6464701936773,55.6714199162275,40.6105511636208
KIF20B,2729.42708466879,-3.80407748083613,0.248434278276916,1.49464133715228e-53,6.03181424145606e-52,5556.18084379053,5407.38359950958,5374.4433019164,7330.46643490892,6620.63993538204,5754.01835461763,464.408552745552,579.054507699091,554.038318797937,258.468037505935,301.797697440602,373.109438815766
FGR,6.62099190819225,-3.80549007835592,0.605382260717641,3.37957532290831e-11,1.59464305311028e-10,23.6014761506147,17.8721033828318,34.7985537534156,28.6293091190417,32.3058102338369,23.8133806828136,0.720013260070624,1.5040376823353,2.152441020971,8.52092431338247,0,0
SLC45A3,298.369789631615,-3.81303335830785,0.30931029006396,9.53639425756661e-36,1.84711410000627e-34,521.19926499274,476.112834118639,536.339614199468,481.245053286749,506.637150968744,469.211797157661,38.8807160438137,43.6170927877238,30.5646624977883,17.0418486267649,38.0909715216293,34.2651525443051
LMOD2,4.33635862071292,-3.81414774117728,0.920530256941045,2.13581937758155e-06,6.5749851516778e-06,7.86715871687155,9.29349375907253,12.7042339099771,5.45320173696033,5.64069702495565,7.05581649861144,0.720013260070624,0,0.860976408388402,0,0,0
FAM111B,1053.21258090129,-3.81490664829822,0.568744948125595,1.76638152195873e-12,9.17111316521957e-12,1128.93727587107,1005.12709425046,1177.62724765527,2205.82010260045,1894.24861910783,1463.19994639955,191.523527178786,155.667900121704,108.052539252744,48.285237775834,38.0909715216293,21.5743553056736
DEF6,71.9782957893154,-3.81556365055687,0.237407381373609,2.37263772336104e-58,1.14451026743627e-56,274.367160250895,265.222014201224,240.275728297393,199.041863399052,217.423230780109,248.717531576053,20.1603712819775,16.5444145056883,18.5109927803506,19.8821567312258,5.86014946486605,13.9598769624947
CDCA5,1627.3385537071,-3.81826531764531,0.473923713967265,7.14630864832249e-17,5.01723101298127e-16,2997.38747112806,2953.90124711444,2875.57572762351,3630.46905638134,3474.66936737268,3265.96106179477,292.325383588673,318.855988655084,296.606372689804,142.015405223041,84.9721672405578,121.831653490862
TPM2,2161.17973152525,-3.82199090643442,0.4136354657525,2.4248067228994e-21,2.24380002386607e-20,4322.02032008131,4229.96942864863,4381.30362495384,4227.59464657849,4086.94138989969,4005.05784002432,301.685555969591,349.688761142958,430.918692398395,374.920669788829,76.1819430432587,152.289566863578
TOP2A,20685.3945284525,-3.8239280318274,0.436942856201947,1.75531621443888e-19,1.45906218735621e-18,28762.3322688824,24393.2764651594,26362.9424371908,32976.8742038333,34335.4355815437,31272.2606989082,2567.56728541184,3793.9350536908,3133.52363832959,1093.51862021742,665.126964262297,558.395078499786
APOC1,120.448633850664,-3.82402543691997,0.389333356846511,9.41878677129317e-24,1.00816925851085e-22,401.225094560449,493.984937501471,462.876000720036,444.435941562267,441.512739862438,350.144893743593,18.7203447618362,23.3125840761972,37.4524737648955,22.7224648356866,26.3706725918972,44.4177903352103
STIL,1352.43144123273,-3.82569572907194,0.279555966926736,1.42791341433254e-43,3.82601595928417e-42,2428.00185899448,2299.78226330279,2246.99232807769,3014.25726010482,2909.06129296122,2790.57542520083,216.003978021187,202.293068274098,212.661172871935,195.981259207797,114.272914564888,130.715211557905
MUC12-AS1,3.5108704022076,-3.82710170874771,1.12929997208948,2.41693283350417e-05,6.61359796589854e-05,11.8007380753073,2.85953654125309,3.86650597260173,6.81650217120041,5.64069702495565,8.8197706232643,0,0,0.430488204194201,0,0,1.26907972386315
CDCA8,1548.38143946336,-3.82779924751695,0.39416948876404,3.27891347299176e-23,3.40108328347898e-22,2286.39300209079,2262.6082882665,2220.47914426556,2460.75728380335,2527.54505781877,2339.00316928969,166.323063076314,284.263121961372,281.539285543007,73.8480107159814,61.5315693810936,64.7230659170207
ADGRG2,288.026606638979,-3.82821934086243,0.415570437573018,1.68861561286671e-21,1.57677722804638e-20,919.474175034363,1012.27593560359,1027.93823071597,1306.041816002,1187.62311907248,1203.89869007558,27.3605038826837,20.3045087115266,46.9232142571679,102.25109176059,102.552615635156,152.289566863578
ARHGEF16,179.041412775958,-3.83029754881615,0.155160529227541,4.54485906839199e-138,1.62281109126823e-135,465.145759135031,468.963992765506,512.588220367772,550.773375432993,554.326680361551,450.690278848806,31.6805834431074,33.8408478525443,27.5512450684289,65.327086402599,29.3007473243303,40.6105511636208
ELOVL7,138.061055754817,-3.83364287183311,0.365576603491649,1.06717113173077e-27,1.4045100832274e-26,613.638379915981,589.064527498136,623.61217758105,549.410074998753,537.404589286684,567.993228138221,10.8001989010594,18.8004710291913,18.5109927803506,62.4867782981381,82.0420925081247,58.3776672977049
ADAD2,2.36239507907075,-3.83410504575915,0.868706871264381,6.1590992299169e-07,2.00900019563867e-06,8.8505535564805,9.29349375907253,10.4948019256333,9.54310303968057,15.38371915897,12.34767887257,0.720013260070624,0,0.860976408388402,0,2.93007473243303,0
EID3,20.4392278836881,-3.83600035335956,0.687303627520476,3.29116518289539e-10,1.43865304402014e-09,79.6549820083245,67.1991087194475,72.9112554833469,58.6219186723235,48.7151106700716,67.9122337991351,1.44002652014125,0,1.2914646125826,8.52092431338247,11.7202989297321,7.6144783431789
ARHGEF39,427.525338943636,-3.83633401588246,0.359399513511861,3.01084044872371e-27,3.88171541368029e-26,826.051665271513,852.141889293419,891.505805682741,757.995041437485,780.467351998409,759.382250663057,48.9609016848024,82.7220725284416,99.4427751688604,31.2433891490691,23.4405978594642,29.1888336488525
DPP4,158.548058359073,-3.83982194318361,0.26598666355115,3.55659581873128e-48,1.14095871723948e-46,444.494467503243,414.632798481697,455.142988774832,327.19210421762,378.952281949293,440.106554100889,31.6805834431074,25.5686405997001,27.9817332726231,22.7224648356866,29.3007473243303,29.1888336488525
SLC4A11,185.598057540835,-3.84285442174026,0.441222962598435,4.56920034013635e-19,3.71162787273687e-18,659.857937377601,673.420855465102,669.457891256185,628.481500184678,623.040625938284,591.806608821035,78.481445347698,64.673620340418,47.3537024613621,19.8821567312258,17.5804483945982,15.2289566863578
STPG3-AS1,6.40782183603692,-3.84518188898353,0.631602465881601,3.40582401487869e-10,1.48778349586123e-09,29.5018451882683,30.0251336831574,34.2461957573296,14.9963047766409,19.998834906661,10.5837247479172,1.44002652014125,0.752018841167651,2.5829292251652,0,2.93007473243303,0
PIM2,1475.5057198223,-3.84612620572557,0.15261312574909,6.06422563293919e-142,2.371545381453e-139,5494.22696889517,5634.00187040389,5553.40729264825,6715.61793906664,6652.94574561588,7136.95838834548,313.925781390792,397.06594813652,311.673459836601,454.449296713732,547.923974964976,567.278636566828
ADAMTS8,198.575872092793,-3.85482849792603,0.889338916819934,8.57179970453023e-07,2.75010860722549e-06,480.880076568774,379.603475851347,433.60102692748,689.830019725481,669.704574053826,712.637466359756,12.9602386812712,14.2883579821854,5.59634665452461,65.327086402599,32.2308220567633,55.8395078499786
KLK6,18.5192602696222,-3.86462161496982,0.956201885159162,2.1524915117729e-06,6.62258557288938e-06,51.1365316596651,38.6037433069167,42.531565698619,19.0862060793611,34.3569727883663,38.8069907423629,0,0,0,2.84030810446082,0,10.1526377909052
TFDP1P1,2.01926666199476,-3.87018295612253,1.16528428613761,3.51379929772189e-05,9.43350007601864e-05,5.90036903765366,5.71907308250617,11.5995179178052,4.08990130272024,6.66627830222032,7.05581649861144,0.720013260070624,0.752018841167651,0,0,0,0
ID1,1483.33096309022,-3.87107289319372,0.687336182143216,1.2329360924359e-09,5.14114631080468e-09,2226.40591687465,2699.40249494291,2241.46874811683,1751.84105799851,1444.01843838865,1511.7086848275,41.7607690840962,75.9539029579328,39.6049147858665,195.981259207797,108.412765100022,242.394227257862
DSG2-AS1,5.70467748216694,-3.87371125324987,0.650112957520689,5.1225386522299e-10,2.20399993092013e-09,12.7841329149163,16.4423351122052,19.8848878590946,24.5394078163215,13.845347243073,17.6395412465286,1.44002652014125,1.5040376823353,1.2914646125826,0,0,0
ZNF66,344.020662501717,-3.87904819382835,0.20768588420388,1.56104139988137e-77,1.39348396701367e-75,937.175282147324,907.187967712541,1025.17644073554,860.242574005492,915.331289958713,811.418897340316,81.3614983879805,54.1453565640709,88.6805700640054,51.1255458802948,41.0210462540624,32.9960728204419
SLFN12,122.396217514487,-3.88116295845502,0.53149770824414,5.00242032872867e-14,2.89925031402147e-13,235.031366666538,188.729411722704,187.249360673141,410.353430706265,389.720885360572,341.325123120329,29.5205436628956,20.3045087115266,36.1610091523129,0,11.7202989297321,3.80723917158945
HMGA1,34867.0918847426,-3.88918856570332,0.126271780737848,1.866137441035e-209,2.45210459751999e-206,79502.5558081851,81124.3367912147,78633.1319648014,93681.9159396757,93241.2346131556,95061.2517316673,5037.93278071415,5413.78363756592,4629.90063610863,6407.73508366362,6572.15762484728,6960.90228538938
KIF4A,2115.4184953846,-3.88980639068553,0.429747270085083,1.43185169309903e-20,1.26987926885268e-19,3292.40592301075,3086.86969628271,3046.80670641016,2951.54544012978,2997.26128280598,3230.68197930171,267.844932746272,367.737213330981,259.153898924909,124.973556596276,82.0420925081247,72.3375442601996
PIWIL3,7.62924879000991,-3.89025190593973,0.581413912560155,3.6095752858529e-12,1.83155001761303e-11,18.6845019525699,19.3018716534583,17.1230978786648,53.1687169353632,42.0488323678512,43.2168760539951,2.88005304028249,0.752018841167651,2.5829292251652,0,5.86014946486605,0
GRTP1,340.797119213588,-3.89335893949577,0.163146748761392,5.5948690243694e-126,1.59818649956987e-123,1192.85794044565,1326.82495514143,1229.54889928735,1097.45684956327,1039.93941514637,1080.42190134988,73.4413525272036,85.7301478931122,87.3891054514228,51.1255458802948,82.0420925081247,74.8757037079259
TCIRG1,101.068736679815,-3.89355856501509,0.259274589013749,2.10502675042886e-51,7.7262713688925e-50,312.719558995644,262.362477659971,336.38601961635,265.843584676816,282.034851247783,234.605898578831,16.5603049816243,29.3287348055384,18.5109927803506,14.2015405223041,14.6503736621651,12.6907972386315
KLHL33,4.66310885276097,-3.89499121424706,0.784266888593471,4.3007810487069e-08,1.56526321127877e-07,21.6346864713968,20.7316399240849,20.4372458551806,8.17980260544049,14.8709285203376,19.4034953711815,0.720013260070624,2.25605652350295,0,0,0,2.5381594477263
