"",baseMean,log2FoldChange,lfcSE,pvalue,padj,GM25256_day0-1,GM25256_day0-2,GM25256_day0-3,GM25256_day60-1,GM25256_day60-2,GM25256_day60-3
FKBP6,2.80009053321634,-3.28394130381777,1.37699486023441,0.00270472090447985,0.00587764751532388,5.78326479788623,8.55832835749638,14.6815599748801,0,0,1.26157992556981
TNNT1,1097.07099657185,-3.28506720937261,0.180583777243892,3.53732650219425e-75,1.19761726970249e-73,4706.13172927992,4256.69856680976,4594.51262991665,410.568536878038,494.27113074468,462.999832684119
ADAD2,3.02904955594797,-3.28645326310501,1.28608776803891,0.00118469728452206,0.0027145668295468,13.012345795244,13.9072835809316,15.4972021957068,1.09193759807989,0,1.26157992556981
PERP,2603.25402222121,-3.2868306529286,0.145900452098426,4.17035313853637e-113,2.87617070982432e-111,5342.2908570474,5830.36119354441,5693.998343591,447.694415212755,580.428483810267,681.88394977048
KCNK15,7.3521619587178,-3.28705573910737,0.754142725827294,1.62948623937426e-06,5.12548045902276e-06,24.5788753910165,33.1635223852985,18.7597710790135,3.27581279423967,2.26729876488385,1.26157992556981
KLK10,39.3726920775784,-3.28822101775029,0.327345960020699,1.5095691969578e-24,1.28551169572234e-23,166.268862939229,176.515522373363,171.284866373601,9.827438382719,20.4056888839547,19.554488846332
UTS2R,51.0363351863223,-3.28912220608065,0.570522147336355,1.00425451212817e-09,4.04428724468486e-09,44.8203021836183,28.8843582065503,55.4636710162137,4.36775039231956,5.66824691220963,2.52315985113961
SLC35F2,1020.22723691183,-3.29040648414849,0.143374182703945,6.128838442372e-118,4.59566905842113e-116,1964.86421508185,2223.02579085968,2122.301058591,197.64070525246,231.264474018153,210.053057607373
RREB1,1724.22392406501,-3.29825551960515,0.206438584209547,1.37061975570975e-58,3.16176414121676e-57,3260.31552980836,2874.5285370741,3075.78681473738,337.408717806686,374.104296205836,215.099377309652
DDIAS,1207.8876318923,-3.29877192745448,0.145927762966875,1.16272061577642e-113,8.10230137205699e-112,1690.15913718225,2045.44047744163,1906.97151229276,167.066452506223,171.181056748731,225.19201671421
UBE2C,4367.005972857,-3.30244284369434,0.173478343422805,6.71583719602032e-82,2.5903501856871e-80,7499.44862665897,7212.53122328007,7118.10966115437,485.912231145551,819.628503505513,872.382518531521
PABPC4-AS1,10.7706129183065,-3.30296402189242,0.74840865018571,1.767479587126e-06,5.53925954196253e-06,26.024691590488,23.535402983115,23.6536244039735,2.18387519615978,1.13364938244193,2.52315985113961
PTGS1,210.723299396366,-3.3038029665238,0.335295334122873,4.70122747844374e-24,3.90812853726382e-23,234.222224314392,196.841552222417,223.485968506508,17.4710015692782,32.8758320908159,15.1389591068377
TMEM200B,89.2894419478153,-3.3084905151894,0.277069248600365,1.15151869004585e-33,1.37795799546436e-32,292.054872293254,265.308179082388,269.977575093629,16.3790639711983,32.8758320908159,30.9087081764603
KIF11,6052.84457018577,-3.309878255901,0.159114715917795,2.86847815170312e-97,1.49294488647182e-95,10175.6544118808,9291.13522310701,9615.60614132564,982.7438382719,1168.79251329763,757.578745304669
TFDP1P1,3.02672527127364,-3.31133925501524,1.37612394522315,0.00172613707184414,0.00385788240141841,8.67489719682934,8.55832835749638,17.1284866373601,1.09193759807989,1.13364938244193,0
STAT5A,115.77651301905,-3.31276729557613,0.408403259459335,4.03674141648587e-17,2.47627193992996e-16,461.215367631427,427.916417874819,403.742899309203,31.6661903443168,62.350716034306,29.6471282508904
ERICH5,24.2021735279381,-3.3128844754794,0.487034698236987,7.46812646301009e-13,3.66334937490374e-12,88.194788167765,99.4905671558954,128.871470890614,9.827438382719,15.871091354187,5.04631970227923
COL4A4,53.0558979384117,-3.31419771340971,0.397846184575199,6.24086915322571e-18,3.98744666942088e-17,211.089165122847,187.213432820233,207.988766310802,37.1258783347162,9.06919505953541,12.6157992556981
EHD4,918.384180407683,-3.3174882796446,0.184990720335579,4.95761178055232e-73,1.59318534669753e-71,2817.89577277006,2873.45874602941,2712.82602646951,231.490770792937,359.366854234091,244.115715597758
NFE2,49.6011795978635,-3.31751802511405,0.393976970556239,3.25065115770842e-18,2.10338466224075e-17,172.052127737115,197.911343267104,191.675921894268,13.1032511769587,24.9402864137224,15.7697490696226
TRANK1,477.519888896252,-3.31943886967657,0.300372355888209,1.64563179059579e-29,1.70927444552804e-28,1405.33334588635,1173.56077602169,1356.41301323476,167.066452506223,125.835081451054,90.2029646782412
VPS9D1-AS1,126.800793733354,-3.31960825195169,0.261501361172348,1.85837669047167e-37,2.49555568554605e-36,203.860084125489,270.657134305823,216.145188519068,16.3790639711983,21.5393382663966,27.7547583625357
ATP10A,53.0874080942142,-3.32119797303944,0.372220118872772,5.18709813806292e-20,3.65177810106265e-19,127.231825553497,163.678029837118,120.715048682348,12.0113135788788,14.737441971745,12.6157992556981
FPR2,2.05153661964864,-3.33094773652611,2.1456932694895,0.00628624946338701,0.0128555527464189,11.5665295957725,9.62811940218342,6.52513776661338,0,0,0.630789962784903
RAD51,990.516522352934,-3.33240405049458,0.190603115465466,2.85610541375092e-69,8.41220924939396e-68,1749.43760136058,2045.44047744163,1844.16706128911,180.169703683182,167.780108601405,203.114368016739
KIF20B,3947.98176806481,-3.33423543557156,0.0940520006528371,2.90091734877799e-276,1.94465895392681e-273,8168.8615270143,8091.89946201282,7936.19880864353,704.299750761529,872.910024480284,811.82668210417
ONECUT1,861.580193691375,-3.33493827858617,0.215747957415002,5.00319179231252e-55,1.06691257940287e-53,1085.80796580314,778.80788053217,937.172911729847,75.3436942675124,116.765886391518,82.0026951620374
RRAS2,3131.06184082299,-3.33875051146285,0.138700581471562,7.2215222438056e-129,6.70501336753119e-127,8790.56249278707,10167.2940887057,8979.40520908084,859.354889688873,781.084424502488,1094.42058543181
EXPH5,131.305178243281,-3.3400747140499,0.263742610067706,7.21737321191851e-38,9.84181917482037e-37,517.602199410817,419.358089517323,458.39092810459,40.4016911289559,57.8161185045383,37.8473977670942
PDK3,2726.34043762941,-3.34036726846009,0.261902238374034,2.8433444561783e-38,3.91388991713283e-37,8690.80117502353,6022.92358158808,7387.27159402717,513.210671097548,1038.4228343168,578.434395873756
CLDN10,324.141343718904,-3.3464220778077,0.176881604726908,1.70964222041335e-80,6.4026578708173e-79,1451.59946426944,1356.49504466318,1351.5191599098,144.135762946545,107.696691331983,150.128011142807
GALNTL5,3.8376114140179,-3.34854665754258,1.07399878219295,0.000213343740726683,0.000537658308396763,17.3497943936587,14.9770746256187,20.3910555206668,1.09193759807989,1.13364938244193,1.26157992556981
CCDC152,429.330781332196,-3.35002902168341,0.164864340876734,2.77624671141958e-92,1.29964018538214e-90,947.00961065387,1054.81397006143,953.48575614638,91.7227582387107,80.4891061533768,111.019033450143
CDC20,5373.41306126047,-3.35152112498352,0.166334590387727,3.18976509477264e-91,1.46860640723337e-89,8559.23190087161,8843.96256642782,8348.91377238182,631.139931690176,809.425659063536,1050.26528803686
EMILIN2,141.196754011004,-3.35274524753132,0.283644596581473,1.34602772290481e-33,1.60441526373838e-32,406.274352051508,417.218507427948,398.033403763416,29.482315148157,66.8853135640737,23.3392286230414
KCNN4,9.97774017324647,-3.35745160306109,0.69107244421595,2.18119059628451e-07,7.3676455110616e-07,36.1454049867889,26.7447761171762,22.0223399623202,1.09193759807989,2.26729876488385,3.15394981392452
GJA4,16.3862417010104,-3.3589647126223,0.660753888749942,1.04156798583208e-07,3.61250783827811e-07,23.1330591915449,29.9541492512373,19.5754132998401,2.18387519615978,0,3.15394981392452
FAM50B,57.07510365018,-3.35924874472493,0.311231252327022,1.8296798045267e-28,1.82575789485341e-27,147.473252346099,138.003044764629,145.999957527974,18.5629391673581,18.1383901190708,6.93868959063393
CRYBB3,3.16450088498113,-3.36064666437148,1.29490021511017,0.00177722751084634,0.00396440248293275,10.1207133963009,9.62811940218342,9.78770664992007,0,0,1.26157992556981
PROCR,268.9419925583,-3.36078207849682,0.18438018621492,4.37000834059174e-75,1.47655181008018e-73,1056.89164181371,1137.18788050233,1146.7929624823,126.664761377267,91.8255999777961,104.080343859509
SLC13A5,51.0430682870012,-3.36149023042699,0.352352804717069,2.17794429902745e-22,1.69452964286913e-21,200.968451726546,210.748835803348,212.066977414935,26.2065023539173,9.06919505953541,22.0776486974716
MB,43.4885859969367,-3.3624281404544,0.338080042046958,4.33178752569287e-24,3.60637988788311e-23,127.231825553497,190.422805954294,150.078168632108,13.1032511769587,13.6037925893031,16.4005390324075
LRRIQ4,4.77839628939517,-3.36306672296337,1.05215862320958,0.00017384356698712,0.000443311676679419,15.9039781941871,19.2562388043669,17.1284866373601,1.09193759807989,1.13364938244193,1.26157992556981
PROSER2-AS1,8.77982972941064,-3.36583886738063,0.736975029376438,7.67556647529802e-07,2.47882504964233e-06,21.6872429920734,27.8145671618632,27.7318355081069,1.09193759807989,3.40094814732578,1.89236988835471
USP9X,19221.9123832604,-3.36612379174121,0.208534722866673,1.58943515518853e-59,3.74119996710739e-58,66001.5095058766,56377.9880550074,62920.2721990112,6694.6694138278,7183.93613653449,3864.21931202032
ARHGAP4,291.023144634235,-3.3673538506797,0.190396590833835,2.81788385113253e-71,8.70505354122214e-70,1065.56653901054,1167.14202975357,994.267867187714,115.745385396468,112.231288861751,83.8950650503921
BEND4,1624.80956086712,-3.36782192141415,0.236040727862626,2.4588106915488e-47,4.40483253657578e-46,7026.66672943177,5955.52674577279,6245.37248486983,707.575563555768,728.936552910159,389.82819700107
SUSD5,285.646267626669,-3.37040231495906,0.225913661555733,1.81935069462539e-51,3.58500861742821e-50,559.530869195493,745.644358146872,644.357354453071,75.3436942675124,57.8161185045383,53.6171468367168
IL34,55.0430787226317,-3.37079159275971,0.340445150301017,3.28461914187871e-24,2.75303486865443e-23,200.968451726546,250.331104456769,205.541839648322,22.9306895596777,22.6729876488385,16.4005390324075
APOB,40.6715206503907,-3.37220496181247,0.41123911793018,1.98703063928217e-17,1.23748221790152e-16,102.652950162481,97.3509850665213,122.346333124001,16.3790639711983,7.93554567709349,6.30789962784903
SLC4A11,320.710676156407,-3.37227376774543,0.207885444441425,1.66121255297936e-60,4.0173537049612e-59,970.142669845415,1007.7431640952,988.558371641927,119.021198190708,97.4938468900057,69.3868959063393
BCL2L10,21.6099187717997,-3.37235571779789,0.546393158233659,6.49015398507855e-11,2.82956531310956e-10,76.6282585719925,99.4905671558954,92.9832131742407,4.36775039231956,12.4701432068612,6.93868959063393
KIF4A,3256.39196881116,-3.37637616071802,0.13901271762451,1.42807558716395e-131,1.37152543067511e-129,4840.59263583077,4619.35773095867,4499.08249007993,406.200786485719,554.354548014102,379.735557596512
