"",baseMean,log2FoldChange,lfcSE,pvalue,padj,NCRM_day0-1,NCRM_day0-2,NCRM_day0-3,NCRM_day14-1,NCRM_day14-2,NCRM_day14-3
BCL11A,1322.90751955822,-5.88102437634042,0.269562631699893,9.25420350318875e-106,9.06846772865292e-104,919.948328526984,853.998494507819,822.987258170151,11.1459775531489,18.6497452991727,13.1389427714916
VAV1,11.6845638090584,-5.90937998887172,1.05634958028413,2.336099807383e-08,1.0230315914944e-07,37.3444370986202,49.3482276120088,65.6514052101545,0,1.77616621896883,0
CD1D,25.5777528246615,-5.90946743830513,0.695483237489677,1.47546239611957e-17,1.20948802603852e-16,105.657431791218,133.994145807607,92.0292019463773,1.0132706866499,0.888083109484416,3.2847356928729
SERTM2,45.6023732246738,-5.93451179589849,1.29501615547171,1.88156130841712e-07,7.60549763445873e-07,35.5227572401509,29.1291621320885,26.9639699970278,1.0132706866499,0,0
TIMP4,72.5450901035164,-5.94619323110788,0.746615194230861,2.22416566295799e-15,1.60817174331309e-14,94.7273526404023,66.4830288661785,114.88995911777,0,2.66424932845325,1.0949118976243
ADAMTS8,104.449606608221,-5.95373028444039,0.35418265215883,1.06894718493432e-63,4.19588154537689e-62,460.885004192727,447.561008758913,473.627994730401,8.10616549319921,7.10466487587533,6.56947138574581
SPATA16,3.18648118159102,-5.97761683460746,2.60009663854622,2.51315309506128e-05,8.18215379451981e-05,10.9300791508157,12.6797529280856,8.79259891207427,0,0,0
NR1I2,15.0837593001289,-5.99326851937336,2.78912020259633,0.000671356142858484,0.00180449721353714,55.5612356833129,74.0223414180132,82.0642565126932,0,0.888083109484416,0
PKLR,13.56211006724,-6.00219840649553,1.04231128685662,1.05949189433087e-08,4.78197525449694e-08,51.9178759663744,46.6066594113417,62.7205389061298,0,1.77616621896883,0
FAM3B,8.0798665986795,-6.01123232023865,1.35215163008518,3.42824615231707e-07,1.35100666127137e-06,33.7010773816816,29.4718581571719,35.756568909102,1.0132706866499,0,0
CD53,7.28985036613547,-6.01606112723784,1.40523903603398,7.09585101571174e-07,2.71148611516213e-06,30.057717664743,31.5280343076723,41.0321282563466,0,0,1.0949118976243
GOLGA6D,2.82791310584709,-6.01940103955127,2.92072990343244,0.000233703462728542,0.000672870615325401,8.19755936311174,9.93818472741844,23.446930432198,0,0,0
HLA-DOA,260.199398024933,-6.02183859284948,0.226718556054395,8.79454589500362e-156,2.07417129032162e-153,1214.14962566977,1323.14935284699,1239.17027334167,16.2123309863984,20.4259115181416,20.8033260548617
UPK3A,2.73905255230536,-6.03943779479793,2.78400729911036,0.000102780919219405,0.000310540981638914,10.019239221581,14.3932330535026,13.4819849985139,0,0,0
